date,body_group,exercise_name,weight,sets,reps,special_modifier_string
9/10/2019,Arms,B-Curl,25,3,8,
9/17/2019,Arms,B-Curl,25,3,8,
9/30/2019,Arms,B-Curl,30,3,5,
10/6/2019,Arms,Tri Push,42.5,4,8,
10/6/2019,Arms,Bar Curl,60,4,6,
10/6/2019,Arms,SKL CR,45,4,8,
10/25/2019,Arms,B-Curl,30,4,5,
10/25/2019,Arms,Tri Push,47.5,4,8,
11/18/2019,Arms,B-Curl,25,5,6,
11/18/2019,Arms,Tri Push,52.5,4,10,
12/6/2019,Arms,B-Curl,30,4,4,
1/3/2020,Arms,Tri Push,50s,4,6,
1/3/2020,Arms,T-Over,60,4,6,
1/11/2020,Arms,Tri Push,105,4,6,
1/18/2020,Arms,Tri Push,110,4,6,
1/19/2020,Arms,B-Curl,25,4,5,
2/1/2020,Arms,Tri Push,55s,4,6,
2/10/2020,Arms,B-Curl,30,3,5,
2/18/2020,Arms,D-Curl,30,4,10,
2/26/2020,Arms,D-Curl,40,4,8,
3/1/2020,Arms,D-Curl,40,4,8,
3/8/2020,Arms,D-Curl,40,4,8,
5/19/2020,Arms,D-Curl,20,4,8,
5/23/2020,Arms,Tri Push,40,4,16,
7/2/2020,Arms,D-Curl,20,2,8,
7/2/2020,Arms,B-Curl,40,5,5,
7/2/2020,Arms,Tri Push,50,4,16,
7/11/2020,Arms,D-Curl,20,3,8,
7/11/2020,Arms,Tri Push,55,4,16,
7/19/2020,Arms,D-Curl,20,4,8,
7/19/2020,Arms,Tri Push,60,4,12,
8/1/2020,Arms,D-Curl,25,2,6,
8/9/2020,Arms,D-Curl,25,4,6,
8/9/2020,Arms,Tri Push,70,4,12,
8/25/2020,Arms,D-Curl,30,4,4,
8/25/2020,Arms,Tri Push,75,4,12,
9/4/2020,Arms,D-Curl,30,4,5,
9/4/2020,Arms,Tri Push,75,4,12,
9/23/2020,Arms,D-Curl,30,5,5,
9/24/2020,Arms,Tri Push,80,4,12,
10/1/2020,Arms,D-Curl,20,4,8,
10/1/2020,Arms,Tri Push,85,4,8,
10/7/2020,Arms,Tri Push,85,4,10,
10/15/2020,Arms,D-Curl,20,4,10,
10/16/2020,Arms,Tri Push,85,4,12,
10/22/2020,Arms,D-Curl,30,4,4,
10/23/2020,Arms,Tri Push,85,4,12,
10/30/2020,Arms,Tri Push,90,4,12,
11/2/2020,Arms,D-Curl,30,5,4,
11/11/2020,Arms,Tri Push,22.5s,4,8,
11/12/2020,Arms,B-Curl,40,4,12,
12/6/2020,Arms,Tri Push,90,4,12,
12/6/2020,Arms,Hammer Curls,90,5,5,
