date,body_group,exercise_name,weight,sets,reps,special_modifier_string
9/10/2019,Chest,Bench,185,3.0,3.0,
9/10/2019,Chest,Chest Flies,100,3.0,8.0,
9/17/2019,Chest,Bench,175,5.0,5.0,
9/17/2019,Chest,Chest Flies,105,3.0,8.0,
9/30/2019,Chest,Bench,180,3.0,5.0,
9/30/2019,Chest,Decline ,175,3.0,5.0,
10/11/2019,Chest,Bench,180,4.0,5.0,
10/20/2019,Chest,Bench,185,3.0,5.0,
11/6/2019,Chest,Chest Flies,105,4.0,8.0,
11/6/2019,Chest,Decline ,175,3.0,5.0,
11/13/2019,Chest,Bench,185,4.0,5.0,
11/23/2019,Chest,Bench,185,5.0,5.0,
12/6/2019,Chest,Bench,195,3.0,5.0,
1/2/2020,Chest,Bench,195,3.0,3.0,
1/2/2020,Chest,Chest Flies,115,4.0,6.0,
1/19/2020,Chest,Bench,195,3.0,3.0,
1/26/2020,Chest,Bench,205,1.0,1.0,
2/2/2020,Chest,Bench,195,3.0,4.0,
2/10/2020,Chest,Decline ,165,3.0,8.0,
2/16/2020,Chest,Bench,135,4.0,10.0,
2/26/2020,Chest,Chest Flies,125,4.0,6.0,
2/26/2020,Chest,Chest Press,90,4.0,8.0,
3/1/2020,Chest,Bench,145,4.0,10.0,
3/8/2020,Chest,Bench,195,3.0,4.0,
3/15/2020,Chest,Chest Flies,130,4.0,7.0,
5/19/2020,Chest,Bench,135,5.0,5.0,
5/26/2020,Chest,Bench,155,5.0,5.0,
5/26/2020,Chest,Chest Flies,75,4.0,6.0,
6/19/2020,Chest,Bench,155,5.0,5.0,
7/9/2020,Chest,Bench,160,5.0,5.0,
7/26/2020,Chest,Decline ,135,5.0,6.0,
8/6/2020,Chest,Decline ,145,5.0,8.0,
8/21/2020,Chest,Bench,165,5.0,5.0,
9/1/2020,Chest,Bench,135,5.0,8.0,
9/1/2020,Chest,Chest Flies,80,4.0,8.0,
9/21/2020,Chest,Decline ,155,5.0,5.0,
10/1/2020,Chest,Bench,175,3.0,5.0,
10/9/2020,Chest,Decline ,155,5.0,8.0,
10/19/2020,Chest,Chest Flies,80,4.0,12.0,
10/27/2020,Chest,Bench,175,5.0,5.0,
11/6/2020,Chest,Decline ,175,5.0,5.0,
12/3/2020,Chest,Bench,175,3.0,5.0,
12/3/2020,Chest,Chest Flies,70,4.0,12.0,
12/17/2020,Chest,Decline ,175,5.0,5.0,
2/3/2021,Chest,Bench,185,5.0,5.0,
2/12/2021,Chest,Bench,190,5.0,4.0,
2/26/2021,Chest,Decline ,175,4.0,8.0,
3/14/2021,Chest,Chest Flies,82.5,4.0,12.0,
4/3/2021,Chest,Bench,205,3.0,3.0,
4/17/2021,Chest,Chest Flies,100,4.0,8.0,
4/30/2021,Chest,Decline ,185,5.0,5.0,
5/19/2021,Chest,Bench,205,3.0,3.0,
6/2/2021,Chest,Bench,205,5.0,5.0,
6/2/2021,Chest,Cable Flies,30,4.0,10.0,
6/2/2021,Chest,Chest Press,185,5.0,5.0,
6/15/2021,Chest,Incline,135,5.0,6.0,
6/18/2021,Chest,Bench,205,5.0,5.0,
6/18/2021,Chest,Cable Flies,20,4.0,14.0,
8/28/2021,Chest,Bench,185,3.0,5.0,
8/28/2021,Chest,Chest Flies,85,4.0,12.0,
9/12/2021,Chest,Bench,135,5.0,8.0,
9/20/2021,Chest,Bench,185,5.0,5.0,
9/20/2021,Chest,Chest Flies,85,4.0,8.0,
9/20/2021,Chest,ISO ,40,,,
9/24/2021,Chest,Incline,135,5.0,6.0,
11/27/2021,Chest,Decline ,185,5.0,5.0,
3/4/2022,Chest,Bench,185,3.0,5.0,
4/14/2022,Chest,Cable Flies,20,3.0,15.0,
4/14/2022,Chest,Decline ,135,3.0,8.0,
4/14/2022,Chest,Incline Db,30,4.0,12.0,
4/14/2022,Chest, Cable POvers,22.5,2.0,8.0,
4/21/2021,Chest,Bench,185,3.0,6.0,
4/21/2021,Chest,Cable Flies,30,3.0,15.0,
3/28/2022,Chest,Bench,185,3.0,5.0,
4/5/2022,Chest,Bench,185,3.0,6.0,
6/9/2022,Chest,Incline,135,3.0,8.0,
7/1/2022,Chest,Bench,185,3.0,8.0,
8/10/2022,Chest,Bench,185,5.0,5.0,
9/5/2022,Chest,Bench,195,3.0,5.0,
9/16/2022,Chest,Bench,200,3.0,5.0,
10/7/2022,Chest,Bench,205,3.0,5.0,
10/20/2022,Chest,Cable Flies,35,3.0,15.0,
10/20/2022,Chest,Decline ,185,5.0,5.0,
11/3/2022,Chest,Bench,210,3.0,5.0,
11/20/2022,Chest,Bench,210,3.0,3.0,
12/29/2022,Chest,Bench,210,3.0,3.0,
1/31/2023,Chest,Incline Db,35,3.0,10.0,
2/26/2023,Chest,Chest Flies,80,5.0,6.0,
3/22/2023,Chest,Chest Flies,90,4.0,6.0,
