date,body_group,exercise_name,weight,sets,reps,special_modifier_string
9/8/2019,Legs,Leg Curls,40,4,10,
9/8/2019,Legs,Leg Press,315,4,8,
9/14/2019,Legs,Donk Raises,135,4,12,
9/19/2019,Legs,Deadlift,225,2,3,
9/19/2019,Legs,Leg Raises,95,4,8,
9/28/2019,Legs,Donk Raises,140,4,12,
9/28/2019,Legs,Leg Press,370,4,8,
9/28/2019,Legs,P-Leg Curl,45,4,8,
10/10/2019,Legs,Squat,185,3,5,
10/10/2019,Legs,Calf Raises,90,4,8,
10/14/2019,Legs,Donk Raises,135,4,12,
10/21/2019,Legs,Squat,185,4,5,
11/9/2019,Legs,Squat,190,3,4,
11/9/2019,Legs,Leg Raises,100,4,10,
11/10/2019,Legs,Donk Raises,65(upp),4,15,
11/16/2019,Legs,Squat,195,5,5,
11/21/2019,Legs,Squat,200,3,3,
12/4/2019,Legs,Squat,195,3,5,
12/4/2019,Legs,Leg Press,385,4,8,
12/9/2019,Legs,Squat,205,3,3,
12/17/2019,Legs,Squat,205,3,3,
12/27/2019,Legs,Leg Press,395,4,8,
12/27/2019,Legs,Good Morn,95,3,5,
1/9/2019,Legs,Squat,205,3,5,
1/12/2019,Legs,Calf Raises,90,4,8,
1/16/2019,Legs,Leg Curls,40,4,6,
1/16/2019,Legs,Leg Raises,110,4,6,
1/18/2020,Legs,Calf Raises,95,4,8,
1/31/2020,Legs,Squat,205,3,3,
2/1/2020,Legs,Calf Raises,100,4,8,
2/14/2020,Legs,Squat,205,3,3,
2/14/2020,Legs,Calf Raises,105,4,8,
2/20/2020,Legs,Leg Press,405,2,8,
2/20/2020,Legs,Good Morn,135,3,3,
2/27/2020,Legs,Squat,205,2,3,
2/27/2020,Legs,Donk Raises,95,4,12,
3/5/2020,Legs,Leg Raises,110,4,10,
3/5/2020,Legs,Good Morn,135,5,5,
3/14/2020,Legs,Squat,205,3,3,
3/15/2020,Legs,Donk Raises,105,4,12,
5/18/2020,Legs,Squat,135,5,5,
5/18/2020,Legs,Calf Raises,95,4,12,
6/2/2020,Legs,Squat,155,3,5,
6/2/2020,Legs,Calf Raises,100,4,12,
6/17/2020,Legs,Squat,135,5,5,
6/26/2028,Legs,Squat,145,5,5,
6/26/2028,Legs,Donk Raises,95,4,12,
7/8/2020,Legs,Squat,155,5,5,
7/8/2020,Legs,Donk Raises,95,4,12,
7/17/2020,Legs,Squat,160,3,5,
7/24/2020,Legs,Squat,205,1,2,
7/24/2020,Legs,Calf Raises,110,3,12,
7/24/2020,Legs,Leg Press,225,4,8,
8/5/2020,Legs,Squat,160,5,5,
8/18/2020,Legs,Squat,165,3,5,
8/28/2020,Legs,Squat,165,5,5,
9/8/2020,Legs,Squat,165,5,5,
9/18/2020,Legs,Calf Raises,105,4,12,
9/29/2020,Legs,Squat,175,3,5,
9/29/2020,Legs,Leg Press,225,4,12,
10/5/2020,Legs,Calf Raises,105,4,14,
10/14/2020,Legs,Squat,175,4,5,
10/20/2020,Legs,Calf Raises,105,4,12,
10/24/2020,Legs,Squat,205,2,3,
10/28/2020,Legs,Calf Raises,115,4,12,
10/28/2020,Legs,Leg Press,275,4,12,
11/5/2020,Legs,Calf Raises,135,4,12,
11/10/2020,Legs,Leg Press,275,4,12,
12/5/2020,Legs,Calf Raises,135,4,12,
12/10/2020,Legs,Squat,205,2,3,
12/16/2020,Legs,Calf Raises,155,4,10,
2/3/2020,Legs,Squat,185,3,3,
2/4/2021,Legs,Calf Raises,120,4,12,
2/5/2021,Legs,Deadlift,185,5,5,
2/10/2021,Legs,Squat,185,3,3,
2/11/2021,Legs,Calf Raises,120,4,12,
2/20/2021,Legs,Hex,225,5,5,
2/24/2020,Legs,Squat,185,5,5,
2/27/2021,Legs,Hex,235,5,5,
3/5/2021,Legs,Leg Raises,70,4,12,
3/11/2021,Legs,Calf Raises,120,4,12,
3/26/2021,Legs,Leg Press,225,4,12,
4/12/2021,Legs,Squat,205,3,3,
4/14/2021,Legs,Donk Raises,135,4,12,
4/18/2021,Legs,Hex,245,5,5,
4/18/2021,Legs,Donk Raises,135,4,12,
5/1/2021,Legs,Hex,315,3,3,
5/6/2021,Legs,Squat,205,3,5,
5/6/2021,Legs,Donk Raises,135,4,12,
5/21/2021,Legs,Hex,315,3,3,
6/3/2021,Legs,Deadlift,225,3,5,
6/6/2021,Legs,Squat,205,3,3,
6/15/2021,Legs,Leg Press,225,4,12,
