date,body_group,exercise_name,weight,sets,reps,special_modifier_string
9/12/2019,Shoulders,Shoulder Press,115,3,5,
9/12/2019,Shoulders,Delt Flies,60,4,8,
9/12/2019,Shoulders,Delt Raises,12.5,4,12,
9/25/2019,Shoulders,Shoulder Press,120,3,5,
9/25/2019,Shoulders,Delt Flies,65,4,8,
9/25/2019,Shoulders,Delt Raises,12.5,4,8,
11/1/2019,Shoulders,Shoulder Press,120,3,4,
11/4/2019.,Shoulders,Delt Raises,12.5,5,8,
11/10/2019,Shoulders,Delt Raises,15,4,8,
12/7/2019,Shoulders,Shoulder Press,135,3,1,
12/29/2019.,Shoulders,Shoulder Press,115,5,5,
1/14/2020,Shoulders,Shoulder Press,115,4,5,
1/20/2020,Shoulders,Delt Raises,12.5,4,8,
1/28/2020,Shoulders,Shoulder Press,120,3,4,
2/18/2020,Shoulders,Delt Raises,15,4,10,
3/3/2020,Shoulders,Shoulder Press,120,3,5,
3/18/2020,Shoulders,Shoulder Press,55s,5,6,
3/18/2020,Shoulders,Delt Raises,15,4,8,
5/23/2020,Shoulders,Shoulder Press,65,5,5,
6/11/2020,Shoulders,Shoulder Press,75,5,5,
6/23/2020,Shoulders,Shoulder Press,85,5,5,
6/23/2020,Shoulders,Delt Raises,10,4,12,
7/3/2020,Shoulders,Shoulder Press,95,5,5,
7/14/2020,Shoulders,Shoulder Press,95,5,6,
7/30/2020,Shoulders,Shoulder Press,100,3,5,
8/12/2020,Shoulders,Shoulder Press,45s,5,6,
8/25/2020,Shoulders,Delt Raises,12.5,4,12,
8/29/2020,Shoulders,Shoulder Press,50s,4,6,
9/15/2020,Shoulders,Shoulder Press,50s,4,4,
9/15/2020,Shoulders,Delt Raises,12.5,4,12,
9/25/2020,Shoulders,Shoulder Press,105,5,5,
10/12/2020,Shoulders,Shoulder Press,35s,4,8,
10/21/2020,Shoulders,Shoulder Press,110,5,5,
10/26/2020,Shoulders,Delt Raises,15,4,12,
11/13/2030,Shoulders,Shoulder Press,115,5,5,
12/7/2020,Shoulders,Shoulder Press,115,3,5,
2/4/2021,Shoulders,Shoulder Press,115,3,5,
2/23/2021,Shoulders,Shoulder Press,120,5,5,
2/25/2021,Shoulders,Delt Raises,10,2,18,
3/4/2021,Shoulders,Shoulder Press,120,5,5,
4/2/2021,Shoulders,Shoulder Press,95,4,4,
4/2/2021,Shoulders,Delt Raises,10,2,18,
4/16/2021,Shoulders,Shoulder Press,55s,2,5,
4/16/2021,Shoulders,Delt Raises,10,3,18,
4/28/2021,Shoulders,Delt Raises,10,4,18,
4/28/2021,Shoulders,RDeltFly,55s,3,10,
5/9/2021,Shoulders,Delt Raises,10,4,18,
5/9/2021,Shoulders,Shrugs,135,4,12,
7/9/2021,Shoulders,Shoulder Press,135,3,2,
7/9/2021,Shoulders,Delt Raises,12.5,4,14,
9/20/2021,Shoulders,Delt Raises,10,4,12,
11/24/2021,Shoulders,Shoulder Press,135,3,2,
11/24/2021,Shoulders,Delt Raises,10,4,14,
12/15/2021,Shoulders,Delt Raises,10,4,15,
2/1/2022,Shoulders,Shoulder Press,95,5,6,
4/1/2022,Shoulders,Shoulder Press,115,5,5,
4/17/2022,Shoulders,Delt Raises,10,3,15,
4/17/2022,Shoulders,Facepulls,25,3,15,
4/17/2022,Shoulders,DB Shoulder P,35,3,8,
5/1/2022,Shoulders,Delt Raises,10,3,10,
5/1/2022,Shoulders,DB Shoulder P,40,3,8,
5/26/2022,Shoulders,Delt Raises,10,3,15,
6/12/2022,Shoulders,Facepulls,30,3,15,
6/12/2022,Shoulders,DB Shoulder P,45,3,8,
7/19/2022,Shoulders,Shoulder Press,95,5,8,
8/2/2022,Shoulders,Shoulder Press,135,2,3,
8/12/2022,Shoulders,Shoulder Press,135,3,3,
8/12/2022,Shoulders,Delt Raises,10,3,12,
10/7/2022,Shoulders,Shoulder Press,95,3,5,
11/25/2022,Shoulders,Shoulder Press,100,3,5,
12/19/2022,Shoulders,Shoulder Press,105,3,5,
12/19/2022,Shoulders,Delt Raises,12.5,3,12,
1/2/2023,Shoulders,DB Shoulder P,50,3,5,
1/20/2023,Shoulders,DB Shoulder P,50,3,7,
1/29/2023,Shoulders,DB Shoulder P,50,3,8,
2/9/2023,Shoulders,DB Shoulder P,55,3,5,
2/10/2023,Shoulders,Delt Raises,10,3,12,
2/25/2023,Shoulders,Delt Raises,12.5,3,12,
3/10/2023,Shoulders,Shoulder Press,105,4,5,
3/24/2023,Shoulders,DB Shoulder P,55,3,7,
